# Generated by tools/hexagon-diff/gen_cases.py from the Hexagon spec.
# TAG<TAB>ASM<TAB>word0,word1,...   (mcpu=hexagonv68)
A2_abs	R0=abs(R4)	8c84c080
A2_absp	R1:0=abs(R5:4)	8084c0c0
A2_abssat	R0=abs(R4):sat	8c84c0a0
A2_add	R0=add(R4,R6)	f304c600
A2_addi	R0=add(R4,#-3)	bfe4ffa0
A2_addi	R0=add(R4,#-32768)	b804c000
A2_addi	R0=add(R4,#0)	b004c000
A2_addi	R0=add(R4,#16383)	b3e4ffe0
A2_addi	R0=add(R4,#32767)	b7e4ffe0
A2_addp	R1:0=add(R5:4,R7:6)	d304c6e0
A2_addpsat	R1:0=add(R5:4,R7:6):sat	d364c6a0
A2_addsat	R0=add(R4,R6):sat	f644c600
A2_addsph	R1:0=add(R5:4,R7:6):raw:hi	d364c6e0
A2_addspl	R1:0=add(R5:4,R7:6):raw:lo	d364c6c0
A2_and	R0=and(R4,R6)	f104c600
A2_andir	R0=and(R4,#-3)	7624ffa0
A2_andir	R0=and(R4,#-512)	7624c000
A2_andir	R0=and(R4,#0)	7604c000
A2_andir	R0=and(R4,#255)	7604dfe0
A2_andir	R0=and(R4,#511)	7604ffe0
A2_andp	R1:0=and(R5:4,R7:6)	d3e4c600
A2_aslh	R0=aslh(R4)	7004c000
A2_asrh	R0=asrh(R4)	7024c000
A2_combineii	R1:0=combine(#-128,#-128)	7c40d000
A2_combineii	R1:0=combine(#-3,#-3)	7c7effa0
A2_combineii	R1:0=combine(#0,#0)	7c00c000
A2_combineii	R1:0=combine(#127,#127)	7c3fefe0
A2_combineii	R1:0=combine(#63,#63)	7c1fe7e0
A2_combinew	R1:0=combine(R4,R6)	f504c600
A2_max	R0=max(R4,R6)	d5c4c600
A2_maxp	R1:0=max(R5:4,R7:6)	d3c4c680
A2_maxu	R0=maxu(R4,R6)	d5c4c680
A2_maxup	R1:0=maxu(R5:4,R7:6)	d3c4c6a0
A2_min	R0=min(R6,R4)	d5a4c600
A2_minp	R1:0=min(R7:6,R5:4)	d3a4c6c0
A2_minu	R0=minu(R6,R4)	d5a4c680
A2_minup	R1:0=minu(R7:6,R5:4)	d3a4c6e0
A2_negp	R1:0=neg(R5:4)	8084c0a0
A2_negsat	R0=neg(R4):sat	8c84c0c0
A2_nop	nop	7f00c000
A2_notp	R1:0=not(R5:4)	8084c080
A2_or	R0=or(R4,R6)	f124c600
A2_orir	R0=or(R4,#-3)	76a4ffa0
A2_orir	R0=or(R4,#-512)	76a4c000
A2_orir	R0=or(R4,#0)	7684c000
A2_orir	R0=or(R4,#255)	7684dfe0
A2_orir	R0=or(R4,#511)	7684ffe0
A2_orp	R1:0=or(R5:4,R7:6)	d3e4c640
A2_paddf	if (!P3) R0=add(R4,R6)	fb04c6e0
A2_paddif	if (!P3) R0=add(R4,#-128)	74e4d000
A2_paddif	if (!P3) R0=add(R4,#-3)	74e4dfa0
A2_paddif	if (!P3) R0=add(R4,#0)	74e4c000
A2_paddif	if (!P3) R0=add(R4,#127)	74e4cfe0
A2_paddif	if (!P3) R0=add(R4,#63)	74e4c7e0
A2_paddit	if (P3) R0=add(R4,#-128)	7464d000
A2_paddit	if (P3) R0=add(R4,#-3)	7464dfa0
A2_paddit	if (P3) R0=add(R4,#0)	7464c000
A2_paddit	if (P3) R0=add(R4,#127)	7464cfe0
A2_paddit	if (P3) R0=add(R4,#63)	7464c7e0
A2_paddt	if (P3) R0=add(R4,R6)	fb04c660
A2_pandf	if (!P3) R0=and(R4,R6)	f904c6e0
A2_pandt	if (P3) R0=and(R4,R6)	f904c660
A2_porf	if (!P3) R0=or(R4,R6)	f924c6e0
A2_port	if (P3) R0=or(R4,R6)	f924c660
A2_psubf	if (!P3) R0=sub(R6,R4)	fb24c6e0
A2_psubt	if (P3) R0=sub(R6,R4)	fb24c660
A2_pxorf	if (!P3) R0=xor(R4,R6)	f964c6e0
A2_pxort	if (P3) R0=xor(R4,R6)	f964c660
A2_roundsat	R0=round(R5:4):sat	88c4c020
A2_sat	R0=sat(R5:4)	88c4c000
A2_satb	R0=satb(R4)	8cc4c0e0
A2_sath	R0=sath(R4)	8cc4c080
A2_satub	R0=satub(R4)	8cc4c0c0
A2_satuh	R0=satuh(R4)	8cc4c0a0
A2_sub	R0=sub(R6,R4)	f324c600
A2_subp	R1:0=sub(R7:6,R5:4)	d324c6e0
A2_subri	R0=sub(#-3,R4)	7664ffa0
A2_subri	R0=sub(#-512,R4)	7664c000
A2_subri	R0=sub(#0,R4)	7644c000
A2_subri	R0=sub(#255,R4)	7644dfe0
A2_subri	R0=sub(#511,R4)	7644ffe0
A2_subsat	R0=sub(R6,R4):sat	f6c4c600
A2_svaddh	R0=vaddh(R4,R6)	f604c600
A2_svaddhs	R0=vaddh(R4,R6):sat	f624c600
A2_svadduhs	R0=vadduh(R4,R6):sat	f664c600
A2_svavgh	R0=vavgh(R4,R6)	f704c600
A2_svavghs	R0=vavgh(R4,R6):rnd	f724c600
A2_svnavgh	R0=vnavgh(R6,R4)	f764c600
A2_svsubh	R0=vsubh(R6,R4)	f684c600
A2_svsubhs	R0=vsubh(R6,R4):sat	f6a4c600
A2_svsubuhs	R0=vsubuh(R6,R4):sat	f6e4c600
A2_swiz	R0=swiz(R4)	8c84c0e0
A2_sxtb	R0=sxtb(R4)	70a4c000
A2_sxth	R0=sxth(R4)	70e4c000
A2_sxtw	R1:0=sxtw(R4)	8444c000
A2_tfr	R0=R4	7064c000
A2_tfrsi	R0=#-3	78dfffa0
A2_tfrsi	R0=#-32768	7880c000
A2_tfrsi	R0=#0	7800c000
A2_tfrsi	R0=#16383	781fffe0
A2_tfrsi	R0=#32767	785fffe0
A2_vabsh	R1:0=vabsh(R5:4)	8044c080
A2_vabshsat	R1:0=vabsh(R5:4):sat	8044c0a0
A2_vabsw	R1:0=vabsw(R5:4)	8044c0c0
A2_vabswsat	R1:0=vabsw(R5:4):sat	8044c0e0
A2_vaddh	R1:0=vaddh(R5:4,R7:6)	d304c640
A2_vaddhs	R1:0=vaddh(R5:4,R7:6):sat	d304c660
A2_vaddub	R1:0=vaddub(R5:4,R7:6)	d304c600
A2_vaddubs	R1:0=vaddub(R5:4,R7:6):sat	d304c620
A2_vadduhs	R1:0=vadduh(R5:4,R7:6):sat	d304c680
A2_vaddw	R1:0=vaddw(R5:4,R7:6)	d304c6a0
A2_vaddws	R1:0=vaddw(R5:4,R7:6):sat	d304c6c0
A2_vavgh	R1:0=vavgh(R5:4,R7:6)	d344c640
A2_vavghcr	R1:0=vavgh(R5:4,R7:6):crnd	d344c680
A2_vavghr	R1:0=vavgh(R5:4,R7:6):rnd	d344c660
A2_vavgub	R1:0=vavgub(R5:4,R7:6)	d344c600
A2_vavgubr	R1:0=vavgub(R5:4,R7:6):rnd	d344c620
A2_vavguh	R1:0=vavguh(R5:4,R7:6)	d344c6a0
A2_vavguhr	R1:0=vavguh(R5:4,R7:6):rnd	d344c6c0
A2_vavguw	R1:0=vavguw(R5:4,R7:6)	d364c660
A2_vavguwr	R1:0=vavguw(R5:4,R7:6):rnd	d364c680
A2_vavgw	R1:0=vavgw(R5:4,R7:6)	d364c600
A2_vavgwcr	R1:0=vavgw(R5:4,R7:6):crnd	d364c640
A2_vavgwr	R1:0=vavgw(R5:4,R7:6):rnd	d364c620
A2_vcmpbeq	P0=vcmpb.eq(R5:4,R7:6)	d204c6c0
A2_vcmpbgtu	P0=vcmpb.gtu(R5:4,R7:6)	d204c6e0
A2_vcmpheq	P0=vcmph.eq(R5:4,R7:6)	d204c660
A2_vcmphgt	P0=vcmph.gt(R5:4,R7:6)	d204c680
A2_vcmphgtu	P0=vcmph.gtu(R5:4,R7:6)	d204c6a0
A2_vcmpweq	P0=vcmpw.eq(R5:4,R7:6)	d204c600
A2_vcmpwgt	P0=vcmpw.gt(R5:4,R7:6)	d204c620
A2_vcmpwgtu	P0=vcmpw.gtu(R5:4,R7:6)	d204c640
A2_vconj	R1:0=vconj(R5:4):sat	8084c0e0
A2_vmaxb	R1:0=vmaxb(R7:6,R5:4)	d3c4c6c0
A2_vmaxh	R1:0=vmaxh(R7:6,R5:4)	d3c4c620
A2_vmaxub	R1:0=vmaxub(R7:6,R5:4)	d3c4c600
A2_vmaxuh	R1:0=vmaxuh(R7:6,R5:4)	d3c4c640
A2_vmaxuw	R1:0=vmaxuw(R7:6,R5:4)	d3a4c6a0
A2_vmaxw	R1:0=vmaxw(R7:6,R5:4)	d3c4c660
A2_vminb	R1:0=vminb(R7:6,R5:4)	d3c4c6e0
A2_vminh	R1:0=vminh(R7:6,R5:4)	d3a4c620
A2_vminub	R1:0=vminub(R7:6,R5:4)	d3a4c600
A2_vminuh	R1:0=vminuh(R7:6,R5:4)	d3a4c640
A2_vminuw	R1:0=vminuw(R7:6,R5:4)	d3a4c680
A2_vminw	R1:0=vminw(R7:6,R5:4)	d3a4c660
A2_vnavgh	R1:0=vnavgh(R7:6,R5:4)	d384c600
A2_vnavghcr	R1:0=vnavgh(R7:6,R5:4):crnd:sat	d384c640
A2_vnavghr	R1:0=vnavgh(R7:6,R5:4):rnd:sat	d384c620
A2_vnavgw	R1:0=vnavgw(R7:6,R5:4)	d384c660
A2_vnavgwcr	R1:0=vnavgw(R7:6,R5:4):crnd:sat	d384c6c0
A2_vnavgwr	R1:0=vnavgw(R7:6,R5:4):rnd:sat	d384c680
A2_vraddub	R1:0=vraddub(R5:4,R7:6)	e844c620
A2_vraddub_acc	R1:0+=vraddub(R5:4,R7:6)	ea44c620
A2_vrsadub	R1:0=vrsadub(R5:4,R7:6)	e844c640
A2_vrsadub_acc	R1:0+=vrsadub(R5:4,R7:6)	ea44c640
A2_vsubh	R1:0=vsubh(R7:6,R5:4)	d324c640
A2_vsubhs	R1:0=vsubh(R7:6,R5:4):sat	d324c660
A2_vsubub	R1:0=vsubub(R7:6,R5:4)	d324c600
A2_vsububs	R1:0=vsubub(R7:6,R5:4):sat	d324c620
A2_vsubuhs	R1:0=vsubuh(R7:6,R5:4):sat	d324c680
A2_vsubw	R1:0=vsubw(R7:6,R5:4)	d324c6a0
A2_vsubws	R1:0=vsubw(R7:6,R5:4):sat	d324c6c0
A2_xor	R0=xor(R4,R6)	f164c600
A2_xorp	R1:0=xor(R5:4,R7:6)	d3e4c680
A2_zxth	R0=zxth(R4)	70c4c000
A4_addp_c	R1:0=add(R5:4,R7:6,P0):carry	c2c4c600
A4_andn	R0=and(R6,~R4)	f184c600
A4_andnp	R1:0=and(R7:6,~R5:4)	d3e4c620
A4_boundscheck_hi	P0=boundscheck(R5:4,R7:6):raw:hi	d204e6a0
A4_boundscheck_lo	P0=boundscheck(R5:4,R7:6):raw:lo	d204e680
A4_cmpbeq	P0=cmpb.eq(R4,R6)	c7c4c6c0
A4_cmpbeqi	P0=cmpb.eq(R4,#0)	dd04c000
A4_cmpbeqi	P0=cmpb.eq(R4,#1)	dd04c020
A4_cmpbeqi	P0=cmpb.eq(R4,#127)	dd04cfe0
A4_cmpbeqi	P0=cmpb.eq(R4,#255)	dd04dfe0
A4_cmpbeqi	P0=cmpb.eq(R4,#3)	dd04c060
A4_cmpbgt	P0=cmpb.gt(R4,R6)	c7c4c640
A4_cmpbgti	P0=cmpb.gt(R4,#-128)	dd24d000
A4_cmpbgti	P0=cmpb.gt(R4,#-3)	dd24dfa0
A4_cmpbgti	P0=cmpb.gt(R4,#0)	dd24c000
A4_cmpbgti	P0=cmpb.gt(R4,#127)	dd24cfe0
A4_cmpbgti	P0=cmpb.gt(R4,#63)	dd24c7e0
A4_cmpbgtu	P0=cmpb.gtu(R4,R6)	c7c4c6e0
A4_cmpbgtui	P0=cmpb.gtu(R4,#0)	dd44c000
A4_cmpbgtui	P0=cmpb.gtu(R4,#1)	dd44c020
A4_cmpbgtui	P0=cmpb.gtu(R4,#127)	dd44cfe0
A4_cmpbgtui	P0=cmpb.gtu(R4,#3)	dd44c060
A4_cmpbgtui	P0=cmpb.gtu(R4,#63)	dd44c7e0
A4_cmpheq	P0=cmph.eq(R4,R6)	c7c4c660
A4_cmpheqi	P0=cmph.eq(R4,#-128)	dd04d008
A4_cmpheqi	P0=cmph.eq(R4,#-3)	dd04dfa8
A4_cmpheqi	P0=cmph.eq(R4,#0)	dd04c008
A4_cmpheqi	P0=cmph.eq(R4,#127)	dd04cfe8
A4_cmpheqi	P0=cmph.eq(R4,#63)	dd04c7e8
A4_cmphgt	P0=cmph.gt(R4,R6)	c7c4c680
A4_cmphgti	P0=cmph.gt(R4,#-128)	dd24d008
A4_cmphgti	P0=cmph.gt(R4,#-3)	dd24dfa8
A4_cmphgti	P0=cmph.gt(R4,#0)	dd24c008
A4_cmphgti	P0=cmph.gt(R4,#127)	dd24cfe8
A4_cmphgti	P0=cmph.gt(R4,#63)	dd24c7e8
A4_cmphgtu	P0=cmph.gtu(R4,R6)	c7c4c6a0
A4_cmphgtui	P0=cmph.gtu(R4,#0)	dd44c008
A4_cmphgtui	P0=cmph.gtu(R4,#1)	dd44c028
A4_cmphgtui	P0=cmph.gtu(R4,#127)	dd44cfe8
A4_cmphgtui	P0=cmph.gtu(R4,#3)	dd44c068
A4_cmphgtui	P0=cmph.gtu(R4,#63)	dd44c7e8
A4_combineii	R1:0=combine(#-128,#1)	7c00f000
A4_combineii	R1:0=combine(#-3,#3)	7c01ffa0
A4_combineii	R1:0=combine(#0,#0)	7c00c000
A4_combineii	R1:0=combine(#127,#63)	7c1fefe0
A4_combineii	R1:0=combine(#63,#31)	7c0fe7e0
A4_combineir	R1:0=combine(#-128,R4)	7324f000
A4_combineir	R1:0=combine(#-3,R4)	7324ffa0
A4_combineir	R1:0=combine(#0,R4)	7324e000
A4_combineir	R1:0=combine(#127,R4)	7324efe0
A4_combineir	R1:0=combine(#63,R4)	7324e7e0
A4_combineri	R1:0=combine(R4,#-128)	7304f000
A4_combineri	R1:0=combine(R4,#-3)	7304ffa0
A4_combineri	R1:0=combine(R4,#0)	7304e000
A4_combineri	R1:0=combine(R4,#127)	7304efe0
A4_combineri	R1:0=combine(R4,#63)	7304e7e0
A4_cround_ri	R0=cround(R4,#0)	8ce4c000
A4_cround_ri	R0=cround(R4,#1)	8ce4c100
A4_cround_ri	R0=cround(R4,#15)	8ce4cf00
A4_cround_ri	R0=cround(R4,#3)	8ce4c300
A4_cround_ri	R0=cround(R4,#31)	8ce4df00
A4_cround_rr	R0=cround(R4,R6)	c6c4c600
A4_modwrapu	R0=modwrap(R4,R6)	d3e4c6e0
A4_orn	R0=or(R6,~R4)	f1a4c600
A4_ornp	R1:0=or(R7:6,~R5:4)	d3e4c660
A4_paslhf	if (!P3) R0=aslh(R4)	7004eb00
A4_paslht	if (P3) R0=aslh(R4)	7004e300
A4_pasrhf	if (!P3) R0=asrh(R4)	7024eb00
A4_pasrht	if (P3) R0=asrh(R4)	7024e300
A4_psxtbf	if (!P3) R0=sxtb(R4)	70a4eb00
A4_psxtbt	if (P3) R0=sxtb(R4)	70a4e300
A4_psxthf	if (!P3) R0=sxth(R4)	70e4eb00
A4_psxtht	if (P3) R0=sxth(R4)	70e4e300
A4_pzxtbf	if (!P3) R0=zxtb(R4)	7084eb00
A4_pzxtbt	if (P3) R0=zxtb(R4)	7084e300
A4_pzxthf	if (!P3) R0=zxth(R4)	70c4eb00
A4_pzxtht	if (P3) R0=zxth(R4)	70c4e300
A4_rcmpeq	R0=cmp.eq(R4,R6)	f344c600
A4_rcmpeqi	R0=cmp.eq(R4,#-128)	7344f000
A4_rcmpeqi	R0=cmp.eq(R4,#-3)	7344ffa0
A4_rcmpeqi	R0=cmp.eq(R4,#0)	7344e000
A4_rcmpeqi	R0=cmp.eq(R4,#127)	7344efe0
A4_rcmpeqi	R0=cmp.eq(R4,#63)	7344e7e0
A4_rcmpneq	R0=!cmp.eq(R4,R6)	f364c600
A4_rcmpneqi	R0=!cmp.eq(R4,#-128)	7364f000
A4_rcmpneqi	R0=!cmp.eq(R4,#-3)	7364ffa0
A4_rcmpneqi	R0=!cmp.eq(R4,#0)	7364e000
A4_rcmpneqi	R0=!cmp.eq(R4,#127)	7364efe0
A4_rcmpneqi	R0=!cmp.eq(R4,#63)	7364e7e0
A4_round_ri	R0=round(R4,#0)	8ce4c080
A4_round_ri	R0=round(R4,#1)	8ce4c180
A4_round_ri	R0=round(R4,#15)	8ce4cf80
A4_round_ri	R0=round(R4,#3)	8ce4c380
A4_round_ri	R0=round(R4,#31)	8ce4df80
A4_round_ri_sat	R0=round(R4,#0):sat	8ce4c0c0
A4_round_ri_sat	R0=round(R4,#1):sat	8ce4c1c0
A4_round_ri_sat	R0=round(R4,#15):sat	8ce4cfc0
A4_round_ri_sat	R0=round(R4,#3):sat	8ce4c3c0
A4_round_ri_sat	R0=round(R4,#31):sat	8ce4dfc0
A4_round_rr	R0=round(R4,R6)	c6c4c680
A4_round_rr_sat	R0=round(R4,R6):sat	c6c4c6c0
A4_subp_c	R1:0=sub(R5:4,R7:6,P0):carry	c2e4c600
A4_vcmpbeq_any	P0=any8(vcmpb.eq(R5:4,R7:6))	d204e600
A4_vcmpbeqi	P0=vcmpb.eq(R5:4,#0)	dc04c000
A4_vcmpbeqi	P0=vcmpb.eq(R5:4,#1)	dc04c020
A4_vcmpbeqi	P0=vcmpb.eq(R5:4,#127)	dc04cfe0
A4_vcmpbeqi	P0=vcmpb.eq(R5:4,#255)	dc04dfe0
A4_vcmpbeqi	P0=vcmpb.eq(R5:4,#3)	dc04c060
A4_vcmpbgt	P0=vcmpb.gt(R5:4,R7:6)	d204e640
A4_vcmpbgti	P0=vcmpb.gt(R5:4,#-128)	dc24d000
A4_vcmpbgti	P0=vcmpb.gt(R5:4,#-3)	dc24dfa0
A4_vcmpbgti	P0=vcmpb.gt(R5:4,#0)	dc24c000
A4_vcmpbgti	P0=vcmpb.gt(R5:4,#127)	dc24cfe0
A4_vcmpbgti	P0=vcmpb.gt(R5:4,#63)	dc24c7e0
A4_vcmpbgtui	P0=vcmpb.gtu(R5:4,#0)	dc44c000
